movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
diamonds are forever,Action Adventure Thriller,Guy Hamilton,Desmond Llewelyn,Lois Maxwell,Jill St. John,Desmond Llewelyn Lois Maxwell Jill St. John Guy Hamilton Action Adventure Thriller
the godfather,Crime Drama,Francis Ford Coppola,Al Pacino,Marlon Brando,Robert Duvall,Al Pacino Marlon Brando Robert Duvall Francis Ford Coppola Crime Drama
flashdance,Drama Music Romance,Adrian Lyne,Michael Nouri,Cynthia Rhodes,Lee Ving,Michael Nouri Cynthia Rhodes Lee Ving Adrian Lyne Drama Music Romance
500 days of summer,Comedy Drama Romance,Marc Webb,Joseph Gordon-Levitt,Chloë Grace Moretz,Zooey Deschanel,Joseph Gordon-Levitt Chloë Grace Moretz Zooey Deschanel Marc Webb Comedy Drama Romance
the piano,Drama Music Romance,Jane Campion,Holly Hunter,Ian Mune,Geneviève Lemon,Holly Hunter Ian Mune Geneviève Lemon Jane Campion Drama Music Romance
magic mike,Comedy Drama,Steven Soderbergh,Channing Tatum,Alex Pettyfer,Matthew McConaughey,Channing Tatum Alex Pettyfer Matthew McConaughey Steven Soderbergh Comedy Drama
darkness falls,Horror Mystery Thriller,Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Angus Sampson,Sullivan Stapleton Emma Caulfield Angus Sampson Jonathan Liebesman Horror Mystery Thriller
live and let die,Action Adventure Thriller,Guy Hamilton,Yaphet Kotto,Geoffrey Holder,Clifton James,Yaphet Kotto Geoffrey Holder Clifton James Guy Hamilton Action Adventure Thriller
my dog skip,Drama Family Sport,Jay Russell,Clint Howard,Frankie Muniz,Cody Linley,Clint Howard Frankie Muniz Cody Linley Jay Russell Drama Family Sport
"definitely, maybe",Comedy Drama Romance,Adam Brooks,Ryan Reynolds,Sakina Jaffrey,Paulina Gerzon,Ryan Reynolds Sakina Jaffrey Paulina Gerzon Adam Brooks Comedy Drama Romance
jumping the broom,Comedy Drama,Salim Akil,Gary Dourdan,Loretta Devine,Laz Alonso,Gary Dourdan Loretta Devine Laz Alonso Salim Akil Comedy Drama
the great gatsby,Drama Romance,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama Romance
"good night, and good luck.",Biography Drama History,George Clooney,Robert Downey Jr.,Tate Donovan,Alex Borstein,Robert Downey Jr. Tate Donovan Alex Borstein George Clooney Biography Drama History
capote,Biography Crime Drama,Bennett Miller,Philip Seymour Hoffman,Michael J. Burg,Kwesi Ameyaw,Philip Seymour Hoffman Michael J. Burg Kwesi Ameyaw Bennett Miller Biography Crime Drama
desperado,Action Crime Thriller,Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Salma Hayek,Quentin Tarantino Steve Buscemi Salma Hayek Robert Rodriguez Action Crime Thriller
the claim,Drama Romance Western,Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,Milla Jovovich Sarah Polley Shirley Henderson Michael Winterbottom Drama Romance Western
fargo,Crime Drama Thriller,unknown,Kirsten Dunst,Adam Goldberg,Oliver Platt,Kirsten Dunst Adam Goldberg Oliver Platt unknown Crime Drama Thriller
logan's run,Action Adventure Sci-Fi,Michael Anderson,Farrah Fawcett,Jenny Agutter,Peter Ustinov,Farrah Fawcett Jenny Agutter Peter Ustinov Michael Anderson Action Adventure Sci-Fi
the man with the golden gun,Action Adventure Thriller,Guy Hamilton,Christopher Lee,Hervé Villechaize,Desmond Llewelyn,Christopher Lee Hervé Villechaize Desmond Llewelyn Guy Hamilton Action Adventure Thriller
the descent,Adventure Horror Thriller,Neil Marshall,MyAnna Buring,Shauna Macdonald,Craig Conway,MyAnna Buring Shauna Macdonald Craig Conway Neil Marshall Adventure Horror Thriller
michael jordan to the max,Documentary Sport,Don Kempf,Bill Murray,Michael Jordan,Bob Costas,Bill Murray Michael Jordan Bob Costas Don Kempf Documentary Sport
devil's due,Horror Mystery,Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Vanessa Ray,Zach Gilford Allison Miller Vanessa Ray Matt Bettinelli-Olpin Horror Mystery
flirting with disaster,Comedy,David O. Russell,Lily Tomlin,Mary Tyler Moore,David Patrick Kelly,Lily Tomlin Mary Tyler Moore David Patrick Kelly David O. Russell Comedy
the devil's rejects,Crime Horror,Rob Zombie,Sid Haig,Ken Foree,Lew Temple,Sid Haig Ken Foree Lew Temple Rob Zombie Crime Horror
buffy the vampire slayer,Action Drama Fantasy Romance,unknown,Sarah Michelle Gellar,Alyson Hannigan,Emma Caulfield,Sarah Michelle Gellar Alyson Hannigan Emma Caulfield unknown Action Drama Fantasy Romance
dope,Comedy Crime Drama,Rick Famuyiwa,Kimberly Elise,Rick Fox,Kiersey Clemons,Kimberly Elise Rick Fox Kiersey Clemons Rick Famuyiwa Comedy Crime Drama
in too deep,Crime Drama Thriller,Michael Rymer,LL Cool J,Omar Epps,Nia Long,LL Cool J Omar Epps Nia Long Michael Rymer Crime Drama Thriller
skyfall,Action Adventure Thriller,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
house of 1000 corpses,Horror,Rob Zombie,Sid Haig,Matthew McGrory,Erin Daniels,Sid Haig Matthew McGrory Erin Daniels Rob Zombie Horror
alien zone,Horror,Sharron Miller,Bernard Fox,Elizabeth MacRae,Charles Aidman,Bernard Fox Elizabeth MacRae Charles Aidman Sharron Miller Horror
a serious man,Comedy Drama,Ethan Coen,Michael Stuhlbarg,Fred Melamed,Peter Breitmayer,Michael Stuhlbarg Fred Melamed Peter Breitmayer Ethan Coen Comedy Drama
get low,Drama Mystery,Aaron Schneider,Bill Murray,Robert Duvall,Bill Cobbs,Bill Murray Robert Duvall Bill Cobbs Aaron Schneider Drama Mystery
warlock,Action Fantasy Horror Thriller,Steve Miner,Julian Sands,Richard E. Grant,Lori Singer,Julian Sands Richard E. Grant Lori Singer Steve Miner Action Fantasy Horror Thriller
beyond the lights,Drama Music,Gina Prince-Bythewood,Minnie Driver,Nate Parker,Darryl Stephens,Minnie Driver Nate Parker Darryl Stephens Gina Prince-Bythewood Drama Music
a single man,Drama Romance,Tom Ford,Colin Firth,Teddy Sears,Keri Lynn Pratt,Colin Firth Teddy Sears Keri Lynn Pratt Tom Ford Drama Romance
the last temptation of christ,Drama,Martin Scorsese,Irvin Kershner,Barbara Hershey,Roberts Blossom,Irvin Kershner Barbara Hershey Roberts Blossom Martin Scorsese Drama
outside providence,Comedy Drama Romance,Michael Corrente,Jonathan Brandis,George Wendt,Shawn Hatosy,Jonathan Brandis George Wendt Shawn Hatosy Michael Corrente Comedy Drama Romance
rabbit-proof fence,Adventure Biography Drama History,Phillip Noyce,Roy Billing,David Gulpilil,Deborah Mailman,Roy Billing David Gulpilil Deborah Mailman Phillip Noyce Adventure Biography Drama History
who's your caddy?,Comedy Sport,Don Michael Paul,Jeffrey Jones,Faizon Love,Lil' Wayne,Jeffrey Jones Faizon Love Lil' Wayne Don Michael Paul Comedy Sport
split second,Action Crime Horror Sci-Fi Thriller,Tony Maylam,Michael J. Pollard,Alun Armstrong,Alastair Duncan,Michael J. Pollard Alun Armstrong Alastair Duncan Tony Maylam Action Crime Horror Sci-Fi Thriller
nikita,Action Crime Drama Thriller,unknown,Melinda Clarke,Xander Berkeley,Aaron Stanford,Melinda Clarke Xander Berkeley Aaron Stanford unknown Action Crime Drama Thriller
the other side of heaven,Adventure Biography Drama,Mitch Davis,Anne Hathaway,Nathaniel Lees,Miriama Smith,Anne Hathaway Nathaniel Lees Miriama Smith Mitch Davis Adventure Biography Drama
dark angel,Action Drama Mystery Sci-Fi,unknown,Jensen Ackles,Ashley Scott,John Savage,Jensen Ackles Ashley Scott John Savage unknown Action Drama Mystery Sci-Fi
redbelt,Drama Sport,David Mamet,Alice Braga,Randy Couture,Jose Pablo Cantillo,Alice Braga Randy Couture Jose Pablo Cantillo David Mamet Drama Sport
cyrus,Comedy Drama Romance,Jay Duplass,Matt Walsh,Tim Guinee,Katie Aselton,Matt Walsh Tim Guinee Katie Aselton Jay Duplass Comedy Drama Romance
a dog of flanders,Drama Family,Kevin Brodie,Bruce McGill,Cheryl Ladd,Jack Warden,Bruce McGill Cheryl Ladd Jack Warden Kevin Brodie Drama Family
auto focus,Biography Crime Drama,Paul Schrader,Ed Begley Jr.,Michael McKean,Kurt Fuller,Ed Begley Jr. Michael McKean Kurt Fuller Paul Schrader Biography Crime Drama
factory girl,Biography Drama,George Hickenlooper,Hayden Christensen,Jimmy Fallon,Beth Grant,Hayden Christensen Jimmy Fallon Beth Grant George Hickenlooper Biography Drama
we need to talk about kevin,Drama Thriller,Lynne Ramsay,Ezra Miller,Siobhan Fallon Hogan,Ashley Gerasimovich,Ezra Miller Siobhan Fallon Hogan Ashley Gerasimovich Lynne Ramsay Drama Thriller
the christmas candle,Drama Family,John Stephenson,Samantha Barks,Hans Matheson,Lesley Manville,Samantha Barks Hans Matheson Lesley Manville John Stephenson Drama Family
the mighty macs,Drama Sport,Tim Chambers,Ellen Burstyn,Marley Shelton,Jennifer Butler,Ellen Burstyn Marley Shelton Jennifer Butler Tim Chambers Drama Sport
losin' it,Comedy Drama Family,Curtis Hanson,Tom Cruise,Shelley Long,Rick Rossovich,Tom Cruise Shelley Long Rick Rossovich Curtis Hanson Comedy Drama Family
mother and child,Drama Romance,Rodrigo García,Naomi Watts,Jimmy Smits,Carla Gallo,Naomi Watts Jimmy Smits Carla Gallo Rodrigo García Drama Romance
march or die,Adventure Drama Romance War,Dick Richards,Catherine Deneuve,Terence Hill,Jack O'Halloran,Catherine Deneuve Terence Hill Jack O'Halloran Dick Richards Adventure Drama Romance War
